original_user_id,block,condition
1106739605573902336,0_0_0,2
1106962992,0_0_0,2
1107338893,0_0_0,2
1107438907820519424,0_0_0,2
110747960,0_0_0,2
1107746749320515584,0_0_0,2
1107810672,0_0_0,2
1107868040601821184,0_0_0,2
1108114897215385600,0_0_0,2
1108157523289354240,0_0_0,2
110832167,0_0_0,2
1108456808337821568,0_0_0,2
1108532045716865024,0_0_0,2
1108737233970958336,0_0_0,2
1108830291806683136,0_0_0,2
110911172,0_0_0,2
1109225518757482368,0_0_0,2
110937131,0_0_0,2
1109788322996596736,0_0_0,2
111010587,0_0_0,2
1110596825952780160,0_0_0,2
111081267,0_0_0,2
1110938187965173632,0_0_0,2
1111013039610826752,0_0_0,2
111129113,0_0_0,2
1111655480450000000,0_0_0,2
1111788501836673024,0_0_0,2
1112058697,0_0_0,2
111240303,0_0_0,2
1112547353024696448,0_0_0,2
1112838817625661440,0_0_0,2
1112905098991206400,0_0_0,2
1113148248,0_0_0,2
1113199432084918144,0_0_0,2
1113440767622701056,0_0_0,2
111373929,0_0_0,2
1113898718124756736,0_0_0,2
1114029561149366144,0_0_0,2
111426479,0_0_0,2
1114335981497462784,0_0_0,2
1114516126233387008,0_0_0,2
1114659800653152256,0_0_0,2
1114935463779893248,0_0_0,2
1115008549095079936,0_0_0,2
1115294466116661248,0_0_0,2
1115544793,0_0_0,2
1115641050,0_0_0,2
1115763991,0_0_0,2
1115938662263468032,0_0_0,2
111644945,0_0_0,2
1116701104975294464,0_0_0,2
1116792148790337536,0_0_0,2
1116892002107318144,0_0_0,2
1117256815400636416,0_0_0,2
1117281645701160832,0_0_0,2
1117644543460036608,0_0_0,2
1117796173325185024,0_0_0,2
1118150829926699008,0_0_0,2
1118263621824286848,0_0_0,2
1118680824361123840,0_0_0,2
